Id,Label,modularity_class,Degree,eigencentrality,Authority,Hub,pageranks
IGFBP7,,0,7,0.694276,0.219998,0.219992,0.031264
DNAJC3,,0,4,0.516318,0.161936,0.161939,0.018293
SPARCL1,,0,9,0.825341,0.262593,0.262577,0.039743
JUN,,5,2,0.236369,0.068527,0.06853,0.010862
TF,,4,5,0.756989,0.248008,0.24802,0.021894
CST3,,0,9,0.871451,0.269584,0.269592,0.039177
VAMP8,,3,2,0.25252,0.077181,0.077187,0.010973
UBB,,4,10,1,0.322915,0.322904,0.043717
PSAP,,3,9,0.40541,0.110284,0.110271,0.045126
KTN1,,1,2,0.261078,0.077937,0.07794,0.01089
RHOA,,1,10,0.626051,0.174833,0.174832,0.048707
TFRC,,2,3,0.356059,0.10745,0.107454,0.014968
UBC,,4,10,0.967051,0.306857,0.306853,0.044605
B2M,,6,8,0.483856,0.139531,0.139521,0.038905
HSPA8,,2,7,0.529977,0.156676,0.156676,0.033328
CDH2,,1,2,0.23824,0.07035,0.070351,0.010934
DNAJC5,,2,2,0.176188,0.047564,0.047567,0.011304
TOM1,,3,2,0.248099,0.074322,0.074326,0.011049
CXCL1,,6,2,0.169501,0.044507,0.044512,0.01139
UBA52,,4,9,0.860272,0.279599,0.279593,0.040685
SNCA,,4,3,0.452657,0.144958,0.144968,0.014516
CD3D,,6,2,0.263535,0.082393,0.082399,0.010846
SDC2,,1,2,0.270712,0.079189,0.079186,0.010839
MAPK1,,5,2,0.197994,0.054081,0.054086,0.01123
HSP90AA1,,5,8,0.454577,0.119713,0.119711,0.039723
APP,,4,9,0.607897,0.183835,0.183815,0.042488
TAP1,,6,2,0.239567,0.074676,0.074681,0.010972
HIF1A,,5,2,0.28387,0.084003,0.084007,0.010857
VEGFA,,5,10,0.610232,0.164615,0.164604,0.047858
C3,,0,4,0.498616,0.153667,0.153673,0.018506
EGFR,,2,2,0.213831,0.059068,0.059068,0.011184
ADAM10,,4,4,0.577303,0.186886,0.1869,0.018318
MAPK8,,1,2,0.22741,0.063902,0.063907,0.011149
DDOST,,3,2,0.228552,0.069464,0.069469,0.011099
GNB1,,1,2,0.196129,0.050799,0.050802,0.011397
FGF23,,4,4,0.645268,0.210062,0.210066,0.018047
AKT1,,5,2,0.204355,0.052482,0.052482,0.011358
TGOLN2,,2,2,0.20747,0.060667,0.060672,0.011056
PSEN1,,3,2,0.189768,0.052398,0.052406,0.011269
IRF1,,5,2,0.177727,0.04619,0.046192,0.011351
FN1,,5,2,0.259207,0.076114,0.07612,0.010818
CD44,,1,2,0.207144,0.056011,0.056013,0.01127
GNB2L1,,5,2,0.236778,0.071147,0.071149,0.01106
TP53,,5,2,0.256325,0.076005,0.076006,0.01101
KDR,,5,2,0.202484,0.050659,0.050662,0.011286
PF4,,5,2,0.194258,0.048976,0.048981,0.011325
ALB,,6,3,0.359099,0.102225,0.102227,0.014898
APOE,,0,2,0.254717,0.079536,0.079544,0.010762
HIF3A,,5,2,0.264324,0.079146,0.07915,0.010907
TGFB1,,4,3,0.398816,0.119613,0.119624,0.014791
